hello,okay. i'll return your pen when i'm done.
yes,see those stains?
no,"well, i know how to flip hamburgers."
hello,okay. i'll return your pen when i'm done.
What are the baggage policies for your airline?,Check your airline's website or app for specific baggage allowance details for your flight. #TravelTips
What are the baggage policies for your airline?,Check your airline's website or app for specific baggage allowance details for your flight. #TravelTips
hello,okay. i'll return your pen when i'm done.
What are the baggage policies for your airline?,Check your airline's website or app for specific baggage allowance details for your flight. #TravelTips
hello,okay. i'll return your pen when i'm done.
What entertainment options are available,"Entertainment options may include movies, TV shows, music, and games, depending on the aircraft. Please check the inflight entertainment guide for details."
hello\\,okay. i'll return your pen when i'm done.
What are the baggage policies for your airline?,Check your airline's website or app for specific baggage allowance details for your flight. #TravelTips
hello,okay. i'll return your pen when i'm done.
how are u,"well, i know how to flip hamburgers."
hello,okay. i'll return your pen when i'm done.
how are you,"well, i know how to flip hamburgers."
hello,okay. i'll return your pen when i'm done.
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
how are you,"well, i know how to flip hamburgers."
hi,i'm fine. how about yourself?
hello,okay. i'll return your pen when i'm done.
hi,i'm fine. how about yourself?
hello,okay. i'll return your pen when i'm done.
hi,i'm fine. how about yourself?
entertinment,"well, i know how to flip hamburgers."
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
Can you help me change my flight date?,"Yes, you can usually change your flight itinerary by contacting your airline or using their online portal, though fees may apply. #TravelTips"
hi,i'm fine. how about yourself?
What are the baggage policies for your airline?,Check your airline's website or app for specific baggage allowance details for your flight. #TravelTips
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
Can I change my seat assignment?,"Yes, you can change your seat assignment depending on availability. Please contact customer service or manage your booking online."
What documents do I need for international travel?,i need to withdraw some money.
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hu,"well, i know how to flip hamburgers."
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
hi,i'm fine. how about yourself?
How do I request a refund for my canceled flight?," Request a flight refund by contacting your airline directly or through their website, following their refund policy and procedures. #TravelTips"
What benefits do I get with a frequent flyer membership?,You can earn frequent flyer miles by flying with the airline or its partner airlines. Please sign up for our loyalty program for details.
How do I report lost luggage?,i have no idea. i've been here for 20 years.
Hi,i'm fine. how about yourself?
Hi,i'm fine. how about yourself?
Is there any cancellation charges should I pay for cancelling my tickets,"yes, but only the cheap tickets."
Hi,i'm fine. how about yourself?
Hi,i'm fine. how about yourself?
Hello,okay. i'll return your pen when i'm done.
Hi,i'm fine. how about yourself?
Hi,i'm fine. how about yourself?
Hello,okay. i'll return your pen when i'm done.
Hello,Hello Hope you are doing well
Hi,i'm fine. how about yourself?
Hi,"Hi, hope you are doing great!"
How can I book my tickets,"yes, but only the cheap tickets."
Hi,"Hi, hope you are doing great!"
Can I bring my pets to cabin,"Most airlines allow small pets in the cabin for a fee, provided they are in an approved carrier that fits under the seat; check with your airline for specific rules and restrictions."
Hi,"Hi, hope you are doing great!"
Can I bring my pets to cabin,"Most airlines allow small pets in the cabin for a fee, provided they are in an approved carrier that fits under the seat; check with your airline for specific rules and restrictions."
Hello how are you,Hello Hope you are doing well
Can I book train ticket here,"yes, it's a $140 ticket."
Hi,"Hi, hope you are doing great!"
Can I book train tickets,"yes, but only the cheap tickets."
Hi,"Hi, hope you are doing great!"
Book me a ticket,"yes, you can book the "
I need to travel to Bangalore today,"one to wipe the handle, and the others to wipe the produce."
Ticket price,"yes, you can book the "
Ok book me,see an eye doctor.
Hi,"Hi, hope you are doing great!"
Hi,"Hi, hope you are doing great!"
Can I bring luggages to cabin,Bringing your own alcohol on board is generally prohibited; purchase it from the airline or duty-free instead. #TravelTips
Hi,"Hi, hope you are doing great!"
Can I bring my pets to cabin,"Most airlines allow small pets in the cabin for a fee, provided they are in an approved carrier that fits under the seat; check with your airline for specific rules and restrictions."
May I know the language weight in UK,because they always do.
May I know the weight limit in UK,"Yes, there is a weight limit for carry-on luggage. Please review our baggage policy on our website or contact customer service for details."
Hi,"('Hi, hope you are doing great!', np.float64(0.6102960426025739))"
hi,"Hi, hope you are doing great!"
How do I check in for flight,"Check your flight status through the airline?s website, mobile app, or flight tracking websites for real-time updates. #TravelTips"
Hi,"Hi, hope you are doing great!"
Hi,"Hi, hope you are doing great!"
What is the cost of ticket to Chennai,"yes, you can book the tickets"
What is the cost of ticket to Chennai,"yes, you can book the tickets"
